id,fighter
287,Melsik Baghdasaryan
288,Viktoriia Dudakova
289,Istela Nunes
290,Austin Lingo
291,Melquizael Costa
292,Evan Elder
293,Genaro Valdez
294,Tyson Nam
295,Azat Maksum
296,Alexander Munoz
297,Carl Deaton
298,Ashlee Evans-Smith
299,Ailin Perez
300,Alexander Volkanovski
301,Yair Rodriguez
302,Brandon Moreno
303,Alexandre Pantoja
304,Robert Whittaker
305,Dricus Du Plessis
306,Jalin Turner
307,Dan Hooker
308,Bo Nickal
309,Val Woodburn
310,Robbie Lawler
311,Niko Price
312,Tatsuro Taira
313,Yazmin Jauregui
314,Denise Gomes
315,Jimmy Crute
316,Alonzo Menifield
317,Vitor Petrino
318,Marcin Prachnio
319,Shannon Ross
320,Jesus Aguilar
321,Kamuela Kirk
322,Esteban Ribovics
323,Abus Magomedov
324,Damir Ismagulov
325,Max Griffin
326,Michael Morales
327,Ariane Lipski
328,Melissa Gatto
329,Ismael Bonfim
330,Brunno Ferreira
331,Nursulton Ruziboev
332,Kevin Lee
333,Rinat Fakhretdinov
334,Joanderson Brito
335,Westin Wilson
336,Yana Santos
337,Karol Rosa
338,Guram Kutateladze
339,Elves Brener
340,Ivana Petrovic
341,Luana Carolina
342,Alexandr Romanov
343,Blagoy Ivanov
344,Josh Emmett
345,Ilia Topuria
346,Amanda Ribas
347,Maycee Barber
348,David Onama
349,Gabriel Santos
350,Brendan Allen
351,Bruno Silva
352,Phil Rowe
353,Randy Brown
354,Wellington Turman
355,Mateusz Rebecki
356,Loik Radzhabov
357,Tabatha Ricci
358,Gillian Robertson
359,Zhalgas Zhumagulov
360,Joshua Van
361,Trevor Peek
362,Jamall Emmers
363,Sedriques Dumas
364,Marvin Vettori
365,Jared Cannonier
366,Arman Tsarukyan
367,Joaquim Silva
368,Armen Petrosyan
369,Christian Leroy Duncan
370,Pat Sabatini
371,Lucas Almeida
372,Manuel Torres
373,Nikolas Motta
374,Nicolas Dalby
375,Muslim Salikhov
376,Jimmy Flick
377,Alessandro Costa
378,Kyung Ho Kang
379,Cristian Quinonez
380,Carlos Hernandez
381,Denys Bondar
382,Tereza Bleda
383,Gabriella Fernandes
384,Ronnie Lawrence
385,Zac Pauga
386,Modestas Bukauskas
387,Amanda Nunes
388,Irene Aldana
389,Charles Oliveira
390,Beneil Dariush
391,Mike Malott
392,Adam Fugitt
393,Nate Landwehr
394,Marc-Andre Barriault
395,Eryk Anders
396,Nassourdine Imavov
397,Chris Curtis
398,Aiemann Zahabi
399,Blake Bilder
400,David Dvorak
401,Steve Erceg
402,Maria Oliveira
403,Kai Kara-France
404,Amir Albazi
405,Daniel Pineda
406,Jim Miller
407,Jesse Butler
408,Tim Elliott
409,Victor Altamirano
410,Ketlen Souza
411,Abubakar Nurmagomedov
412,Elizeu Zaleski dos Santos
413,Daniel Santos
414,Andrei Arlovski
415,Don'Tale Mayes
416,John Castaneda
417,Muin Gafurov
418,Muhammad Naimov
419,Jinh Yu Frey
420,Luan Lacerda
421,Philipe Lins
422,Maxim Grishin
423,Mackenzie Dern
424,Angela Hill
425,Edmen Shahbazyan
426,Anthony Hernandez
427,Diego Ferreira
428,Michael Johnson
429,Maheshate
430,Viacheslav Borshchev
431,Orion Cosce
432,Gilbert Urbina
433,Ilir Latifi
434,Rodrigo Nascimento
435,Chase Hooper
436,Nick Fiore
437,Victoria Leonardo
438,Takashi Sato
439,Themba Gorimbo
440,Jairzinho Rozenstruik
441,Jailton Almeida
442,Johnny Walker
443,Daniel Rodriguez
444,Ihor Potieria
445,Matt Brown
446,Court McGee
447,Karl Williams
448,Chase Sherman
449,Cody Stamann
450,Douglas Silva de Andrade
451,Ji Yeon Kim
452,Mandy Bohm
453,Gabe Green
454,Jessica-Rose Clark
455,Henry Cejudo
456,Belal Muhammad
457,Gilbert Burns
458,Yan Xiaonan
459,Movsar Evloev
460,Kron Gracie
461,Matt Frevola
462,Devin Clark
463,Khaos Williams
464,Virna Jandiroba
465,Braxton Smith
466,Phil Hawes
467,Ikram Aliskerov
468,Joseph Holmes
469,Song Yadong
470,Ricky Simon
471,Caio Borralho
472,Rodolfo Vieira
473,Julian Erosa
474,Josh Quinlan
475,Trey Waters
476,Charles Johnson
477,Stephanie Egger
478,Journey Newson
479,Hailey Cowan
480,Jamey-Lyn Horth
481,Sergei Pavlovich
482,Curtis Blaydes
483,Jared Gordon
484,Brogan Walker
485,Rani Yahya
486,Montel Jackson
487,Brady Hiestand
488,Batgerel Danaa
489,Arnold Allen
490,Azamat Murzakanov
491,Ion Cutelaba
492,Clay Guida
493,Rafa Garcia
494,Brandon Royval
495,Matheus Nicolau
496,Zak Cummings
497,Ed Herman
498,Piera Rodriguez
499,Lando Vannata
500,Aaron Phillips
501,Gaston Bolanos
502,Lucie Pudilova
503,Jorge Masvidal
504,Santiago Ponzinibbio
505,Kelvin Gastelum
506,Luana Pinheiro
507,Cynthia Calvillo
508,Trey Ogden
509,Shayilan Nuerdanbieke
510,Steve Garcia
511,Sam Hughes
512,Steven Peterson
513,Lucas Alexander
514,Preston Parsons
515,Leon Edwards
516,Kamaru Usman
517,Gunnar Nelson
518,Casey O'Neill
519,Roman Dolidze
520,Jack Shore
521,Makwan Amirkhani
522,Omar Morales
523,Sam Patterson
524,Muhammad Mokaev
525,Christian Duncan
526,Dusko Todorovic
527,Malcolm Gordon
528,Joanne Wood
529,Veronica Hardy
530,Petr Yan
531,Merab Dvalishvili
532,Nikita Krylov
533,Said Nurmagomedov
534,Guido Cannetti
535,Raphael Assuncao
536,Victor Henry
537,Tony Gravely
538,Jared Gooden
539,Jon Jones
540,Geoff Neal
541,Shavkat Rakhmonov
542,Cody Garbrandt
543,Trevin Jones
544,Derek Brunson
545,Julian Marquez
546,Mana Martinez
547,Jessica Penne
548,Augusto Sakai
549,Yohan Lainesse
550,Erick Gonzalez
551,Jordan Leavitt
552,Victor Martinez
553,Joe Solecki
554,Rafael Alves
555,Nurullo Aliev
556,Jordan Wright
557,William Knight
558,Lina Lansberg
559,Khusein Askhabov
560,Ovince Saint Preux
561,Clayton Carpenter
562,Juancamilo Ronderos
563,Islam Makhachev
564,Don Shainis
565,Loma Lookboonmee
566,Zubaira Tukhugov
567,Dooho Choi
568,Jeka Saragih
569,Anshul Jubli
570,JeongYeong Lee
571,Yi Zha
572,SeungGuk Choi
573,HyunSung Park
574,Glover Teixeira
575,Jamahal Hill
576,Deiveson Figueiredo
577,Lauren Murphy
578,Mauricio Rua
579,Mounir Lazzez
580,Shamil Abdurakhimov
581,Warlley Alves
582,Josiane Nunes
583,Saimon Oliveira
584,Punahele Soriano
585,Raquel Pennington
586,Umar Nurmagomedov
587,Javid Basharat
588,Allan Nascimento
589,Nick Aguirre
590,Cheyanne Vlismas
591,Cory McKenna
592,Saidyokub Kakhramonov
593,Sergey Morozov
594,Magomed Ankalaev
595,Paddy Pimblett
596,Darren Till
597,Jay Perrin
598,Dalcha Lungiambula
599,Erik Silva
600,Steven Koslow
601,Stephen Thompson
602,Matt Schnell
603,Jack Hermansson
604,Kyle Daukaus
605,Scott Holtzman
606,Jonathan Pearce
607,Natan Levy
608,Marcelo Rojo
609,Vince Morales
610,Ricky Turcios
611,Kevin Natividad
612,Carla Esparza
613,Michael Chandler
614,Frankie Edgar
615,Claudio Puelles
616,Brad Riddell
617,Renato Moicano
618,Dominick Reyes
619,Silvana Gomez Juarez
620,Michael Trizano
621,Julio Arce
622,Nicolae Negumereanu
623,Darrick Minner
624,Tagir Ulanbekov
625,Mark Madsen
626,Shanna Young
627,Benito Lopez
628,Liudvik Sholinian
629,Carlos Candelario
630,Ramona Pascual
631,Calvin Kattar
632,Jared Vanderaa
633,Tresean Gore
634,Junyong Park
635,Carlos Mota
636,Joshua Weems
637,TJ Dillashaw
638,Katlyn Chookagian
639,Sean Brady
640,Gadzhi Omargadzhiev
641,Misha Cirkunov
642,Brandon Davis
643,Nick Maximov
644,Mike Jackson
645,Pete Rodriguez
646,Francisco Trinaldo
647,Mike Davis
648,Aleksei Oleinik
649,Jesse Ronson
650,Krzysztof Jotko
651,Randy Costa
652,Alen Amedovski
653,Louis Cosce
654,Mariya Agapova
655,Cameron VanCamp
656,Nate Diaz
657,Khamzat Chimaev
658,Li Jingliang
659,Macy Chiasson
660,Chris Barnett
661,Danyelle Wolf
662,Chad Anheliger
663,Melissa Martinez
664,Darian Weeks
665,Alessio Di Chirico
666,Dustin Stoltzfus
667,Michal Figlak
668,Khalid Taha
669,Paulo Costa
670,Luke Rockhold
671,Jose Aldo
672,Wu Yanan
673,Harry Hunsucker
674,Leonardo Santos
675,Luis Saldana
676,Francisco Figueiredo
677,Daniel Da Silva
678,Dominick Cruz
679,Nina Nunes
680,Gabriel Benitez
681,Charlie Ontiveros
682,Jason Witt
683,Youssef Zalal
684,Thiago Santos
685,Sam Alvey
686,Miranda Granger
687,Julianna Pena
688,Alex Perez
689,Hamdy Abdelwahab
690,Drakkar Klose
691,Alexander Gustafsson
692,Mason Jones
693,Damir Hadzovic
694,Charles Rosa
695,Claudio Silva
696,Brian Ortega
697,Sumudaerji
698,Shane Burgos
699,Miesha Tate
700,Herbert Burns
701,Da-Un Jung
702,Dwight Grant
703,Antonina Shevchenko
704,Cortney Casey
705,Karl Roberson
706,Donald Cerrone
707,Uriah Hall
708,Jessica Eye
709,Alan Baudot
710,Raulian Paiva
711,Brian Kelleher
712,Tony Kelley
713,Danny Chavez
714,Gloria de Paula
715,Eddie Wineland
716,Deron Winn
717,Jiri Prochazka
718,Joanna Jedrzejczyk
719,Ramazan Emeev
720,Poliana Botelho
721,Zarrukh Adashev
